ID,Smiles,N Params,Solvent
455,CN(C1=CC=NC=C1)C,14.9,DMF
1478,[O-]C1=CC=C([N+]([O-])=O)C=C1,15.05,DMF
1490,[O-]C1=CC=CC=C1C(F)(F)F,20.37,DMF
1484,[O-]C1=CC=CC([N+]([O-])=O)=C1,22.41,DMF
1481,[O-]C1=CC=CC=C1[N+]([O-])=O,16.65,DMF
1487,[O-]C1=CC=C(C#N)C=C1,17.85,DMF
1493,[O-]C1=CC=C(C(F)(F)F)C=C1,22.05,DMF
1504,[O-]C1=CC=C(C)C=C1,19.65,DMF
1499,[O-]C1=CC=C(Cl)C=C1,19.67,DMF
1510,[O-]C1=CC=C(OC)C=C1,19.9,DMF
1502,[O-]C1=CC=CC=C1,18.86,DMF
1507,[O-]C1=CC=C(C(C)(C)C)C=C1,19.9,DMF
1496,[O-]C1=CC=CC(C(F)(F)F)=C1,23.4,DMF
1671,O=[N+]([CH-]C)[O-],22.21,DMF
1672,Cl[CH-]S(=O)(C1=CC=CC=C1)=O,26.64,DMF
