ID,Smiles,N Params,Solvent
205,C[CH-][N+]([O-])=O,21.54,DMSO
1174,O=C([CH-][N+]1=CC=CC=C1)N(CC)CC,27.45,DMSO
106,NCC(F)(F)F,12.15,DMSO
293,CC([C-](C)C(C)=O)=O,18.38,DMSO
591,[H][B-](C#N)([H])[H],11.52,DMSO
590,[H][B-](OC(C)=O)(OC(C)=O)OC(C)=O,14.45,DMSO
426,[N-]=[N+]=[N-],20.5,DMSO
1173,O=C([CH-][N+]1=CC=CC=C1)OCC,26.71,DMSO
343,[CH2-][N+]([O-])=O,20.71,DMSO
117,CC(CC([CH-]1)=O)(C)CC1=O,16.27,DMSO
349,O=[N+]([CH-]C1=CC=C(C)C=C1)[O-],18.31,DMSO
114,C1CNCCC1,17.19,DMSO
511,O=S([CH-]C1=CC=C(C#N)C=C1)(C(F)(F)F)=O,16.28,DMSO
1178,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=C(N(C)C)C=C2,21.61,DMSO
120,N#C[CH-]C#N,19.36,DMSO
1175,N#C[CH-][N+]1=CC=CC=C1,25.94,DMSO
1177,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=CC=C2,19.46,DMSO
1260,[Li]Br[Zn](C1C2=CC=CC=C2C=C1)Br,15.6,DMSO
119,CC([CH-]C(OCC)=O)=O,18.82,DMSO
121,[H][C-](C(OCC)=O)C#N,19.62,DMSO
351,O=[N+]([CH-]C1=CC=C([N+]([O-])=O)C=C1)[O-],16.29,DMSO
510,O=S([CH-]C1=CC=C([N+]([O-])=O)C=C1)(C(F)(F)F)=O,14.49,DMSO
1180,O=C(C1=CC=CC=C1)[CH-][N+]2=C(C=CC=C3)C3=CC=C2,19.38,DMSO
454,CN(C1=CC=NC=C1)C,14.8,DMSO
589,[H][B-]([H])([H])[H],14.94,DMSO
111,NCCC,15.7,DMSO
1179,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=CC(Cl)=C2,17.98,DMSO
291,O=C([C-](C)C(OCC)=O)OCC,21.13,DMSO
344,O=[N+]([C-](C)C)[O-],20.61,DMSO
1176,O=C(C)[CH-][N+]1=CC=CC=C1,20.24,DMSO
116,CC(OC([CH-]1)=O)(C)OC1=O,13.91,DMSO
109,NCC(OCC)=O,14.3,DMSO
347,O=[N+]([CH-]C1=CC=CC=C1)[O-],18.29,DMSO
