ID,Smiles,N Params,Solvent
804,CC1=CC(C)=CC(C)=C1[N+]2=[C-]N(C3=C(C)C=C(C)C=C3C)CC2,23.35,THF
805,[N+]1(C2=CC=CC=C2)=[C-]N(C3=CC=CC=C3)N=C1C4=CC=CC=C4,14.07,THF
1167,[O-]/C(C1=[N+](C2=CC=CC=C2)N=C(C3=CC=CC=C3)N1C4=CC=CC=C4)=C(C5=CC=CC=C5)/C,16.73,THF
1165,[O-]/C(C1=[N+](C2=C(C)C=C(C)C=C2C)CCN1C3=C(C)C=C(C)C=C3C)=C(C4=CC=CC=C4)/C,15.92,THF
803,CC1=CC(C)=CC(C)=C1[N+]2=[C-]N(C3=C(C)C=C(C)C=C3C)C=C2,21.72,THF
1166,[O-]/C(C1=[N+](C2=CC=CC=C2)N=C(C3=CC=CC=C3)N1C4=CC=CC=C4)=C(C5=CC=CC=C5)/C,14.4,THF
1325,CC(C=C(C)C=C1C)=C1N2[C]N(C)C=C2,21.5,THF
1163,[O-]/C(C1=[N+](C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C)=C(C4=CC=CC=C4)/C,15.33,THF
1328,CN1C=C[N+](C2=C(OC)C=CC=C2OC)=[C-]1,23.0,THF
1327,CN1C=C[N+](C2=CC=C(OC)C=C2)=[C-]1,20.41,THF
1326,CC([N+]1=[C-]N(C)C=C1)(C)C,16.54,THF
1613,C=C1N(C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C,17.8,THF
1614,C=C1N(C)C(C=CC=C2)=C2N1C,19.84,THF
1611,C=C1N(C)CCN1C,18.11,THF
1612,C=C1N(C)CCCN1C,18.68,THF
1654,CC(C)N([C-]1C2=CC=CC=C2)N=[N+](C(C)C)C1=C,30.25,THF
1653,C=C(N(C1=C(C(C)C)C=CC=C1C(C)C)N=[N+]2C3=C(C(C)C)C=CC=C3C(C)C)[C-]2C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,20.78,THF
1633,C=C1[C-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)N=[N+]1C4=C(C(C)C)C=CC=C4C(C)C,21.36,THF
1652,C=C1[C-](C2=CC=C(OC)C=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)N=[N+]1C4=C(C(C)C)C=CC=C4C(C)C,23.55,THF
1656,C=C1[C-](C2=CC=CC=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)N=[N+]1C4=C(C(C)C)C=CC=C4C(C)C,22.8,THF
1634,C=C1[C-](C2=CC=C(C(F)(F)F)C=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)N=[N+]1C4=C(C(C)C)C=CC=C4C(C)C,22.3,THF
1657,C[C-]1C([N+](C2=C(C(C)C)C=CC=C2C(C)C)=NN1C3=C(C(C)C)C=CC=C3C(C)C)=C,24.86,THF
1655,CC(C)N([C-]1C(C)(C)C)N=[N+](C(C)C)C1=C,31.92,THF
