ID,Smiles,N Params,Solvent
356,[C-]#N,16.27,acetonitrile
462,ClC1=CC=C2C(C=CN2)=C1,4.42,acetonitrile
463,BrC1=CC=C2C(C=CN2)=C1,4.38,acetonitrile
465,O=C(C1=CC=C2C(C=CN2)=C1)O,3.97,acetonitrile
555,CC1=CC=C(C)N1,8.01,acetonitrile
464,N#CC1=CC=C2C(C=CN2)=C1,2.83,acetonitrile
499,NC1=CC=CC=C1,12.64,acetonitrile
451,CN(C1=CC=NC=C1)C,15.51,acetonitrile
471,C12=CC=CN=C1NC=C2,3.87,acetonitrile
470,COC1=C(C=CN2)C2=CC=C1,5.41,acetonitrile
1145,CC(C)(C)OC(N1C=CC2=C1C=CC=C2)=O,1.68,acetonitrile
459,NC1=CC=C2C(C=CN2)=C1,7.22,acetonitrile
561,N#C[O-],13.6,acetonitrile
559,N12C(CCCCC2)=NCCC1,15.29,acetonitrile
1143,F[B-](F)(F)C(N1C(OC(C)(C)C)=O)=CC2=C1C=CC(OC)=C2.[K+],7.1,acetonitrile
1147,F[B-](F)(F)C1=COC=C1.[K+],6.83,acetonitrile
460,OC1=CC=C2C(C=CN2)=C1,6.44,acetonitrile
1246,CC(S1)=CC=C1[B-]2(C3=CC=CC=C3)OC(C)(C)C(C)(C)O2.[Li+],7.24,acetonitrile
461,CC1=CC=C2C(C=CN2)=C1,6.0,acetonitrile
362,[S-]C#N,12.13,acetonitrile
503,NC1=CC=C(OC)C=C1,13.42,acetonitrile
598,C12=CC=CC=CC1=CC=C2,6.66,acetonitrile
1146,F[B-](F)(F)C1=CC=CO1.[K+],5.99,acetonitrile
1266,CC1(C)O[B-](C2=CC=CC=C2)(C(C)C3=CC=CC=C3)OC1(C)C.[Li+],10.97,acetonitrile
466,CC1=CC2=CC(OC)=CC=C2N1,7.26,acetonitrile
1248,CC(S1)=CC=C1[B-]2(C3=CC=C(OC)C=C3)OC(C)(C)C(C)(C)O2.[Li+],7.51,acetonitrile
560,N12C(CCC2)=NCCC1,16.28,acetonitrile
1144,F[B-](F)(F)C1=CN(C(OC(C)(C)C)=O)C2=C1C=CC=C2.[K+],4.06,acetonitrile
1141,F[B-](F)(F)C1=CC(C=CN2C)=C2C=C1.[K+],8.77,acetonitrile
467,CC1=CC=C2C(C=C(C)N2)=C1,7.22,acetonitrile
1142,F[B-](F)(F)C(N1C(OC(C)(C)C)=O)=CC2=C1C=CC=C2.[K+],6.46,acetonitrile
1245,CC(S1)=CC=C1[B-]2(C3=CC=C(Cl)C=C3)OC(C)(C)C(C)(C)O2.[Li+],6.77,acetonitrile
1267,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(CC3=CC=CC=C3)OC1(C)C.[Li+],7.15,acetonitrile
469,ClC1=CC=C2C(C=C(C)N2)=C1,6.08,acetonitrile
1247,CC(S1)=CC=C1[B-]2(C3=CC=C(C)C=C3)OC(C)(C)C(C)(C)O2.[Li+],6.98,acetonitrile
1273,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)[H])OC1(C)C.[Li+],7.68,acetonitrile
468,CC1=CC2=CC=CC=C2N1,6.91,acetonitrile
1252,CC(S1)=CC=C1[B-]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)OCCO2.[Li+],11.23,acetonitrile
1269,CC1(C)O[B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C(C)C3=CC=CC=C3)OC1(C)C.[Li+],7.46,acetonitrile
1140,F[B-](F)(F)C(N1C)=CC2=C1C=CC=C2.[K+],9.55,acetonitrile
1274,CC1(C)CO[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)C3=CC=CC=C3)OC1.[Li+],11.29,acetonitrile
558,CC1=C(CC)C(C)=CN1,11.63,acetonitrile
519,N12CCC(CC2)CC1,20.54,acetonitrile
1148,F[B-](F)(F)C1=C(OC)C=CS1.[K+],7.32,acetonitrile
1244,CC(S1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OC(C)(C)C(C)(C)O2.[Li+],6.24,acetonitrile
1397,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2.[Li+],8.71,acetonitrile
390,[O-]N=O,17.2,acetonitrile
1270,CC1(C)O[B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(CC3=CC=CC=C3)OC1(C)C.[Li+],6.3,acetonitrile
1149,COC1=CSC=C1,3.06,acetonitrile
1268,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)C3=CC=CC=C3)OC1(C)C.[Li+],8.56,acetonitrile
1243,CC(S1)=CC=C1[B-]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)OC(C)(C)C(C)(C)O2.[Li+],5.53,acetonitrile
601,C12=CC(/C=C3C=CC=C\3)=CC4=C1N(CCC2)CCC4,7.79,acetonitrile
