ID,Smiles,N Params,Solvent
618,CS(=CC(=O)C1=CC=C(C=C1)Br)C,11.95,ch2cl2
27,CC1=CC=CC=C1,-4.36,ch2cl2
28,CC1=CC(C)=CC=C1,-3.57,ch2cl2
29,CC=Cc1ccccc1,-0.49,ch2cl2
38,C=C(O[Si](C)(C)C)/C=C/OC,8.57,ch2cl2
30,CC1=CC=CS1,1.35,ch2cl2
43,CN1C=CC=C1,5.85,ch2cl2
32,COC1=CC=CC(OC)=C1,2.48,ch2cl2
37,C=C(C)C[Sn](CCCC)(CCCC)CCCC,7.48,ch2cl2
40,C[Si](OC1=CCCO1)(C)C,12.56,ch2cl2
46,C=C(O[Si](C)(C)C)C1=CC=CC=C1,6.22,ch2cl2
33,C=CC[Si](C)(C)C,1.68,ch2cl2
31,C=CC1=CC=CC=C1,0.78,ch2cl2
34,C=CC[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,3.09,ch2cl2
42,CC1=CC=CO1,3.61,ch2cl2
39,C[Si](OC1=CCCCO1)(C)C,10.61,ch2cl2
35,C=C(C)C[Si](C)(C)C,4.41,ch2cl2
477,CC1=CC=C(C=C1)S(=O)(=O)C[N+]#[C-],3.5,ch2cl2
45,C=C(O[Si](C)(C)C)C,5.41,ch2cl2
41,C=C1CCCC1,2.82,ch2cl2
36,C=CC[Sn](CCCC)(CCCC)CCCC,5.46,ch2cl2
606,C1=CC=C(C=C1)C(=O)C=P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,9.54,ch2cl2
44,C[Si](OC1=CCCCC1)(C)C,5.21,ch2cl2
155,C/C(C[Si](CC)(CC)CC)=C(C)\C,3.15,ch2cl2
78,C1(C=CC=C2)=C2NC=C1,5.55,ch2cl2
474,CC(C)(C)N=[C],5.47,ch2cl2
137,C=C(Cl)C,-3.65,ch2cl2
66,[BH3-][N+](CC)(CC)CC,8.9,ch2cl2
187,[H]C([Si](C)(C)C)=[N+]=[N-],8.97,ch2cl2
95,CC=CC(C)([H])C=CC,-0.73,ch2cl2
125,C=C1CCCCC1,1.16,ch2cl2
177,C=C/C=C/C,1.49,ch2cl2
144,C=C(C)C=C,1.1,ch2cl2
72,N1(CCOCC1)C2=CCCC2,13.41,ch2cl2
54,[H]C#CC1=CC=CC=C1,-0.04,ch2cl2
273,C/C(C)=C/OCC,4.23,ch2cl2
79,CN1C2=C(C=CC=C2)C=C1,5.75,ch2cl2
69,N1(CCCC1)C2=CCCC2,15.91,ch2cl2
172,CCCC[Sn](C1=CC=CS1)(CCCC)CCCC,1.53,ch2cl2
240,C/C(C)=C/C[Sn](CCCC)(CCCC)CCCC,4.74,ch2cl2
175,C/C=C/C=C/C,1.17,ch2cl2
140,CC1=CCCCC1,0.08,ch2cl2
226,C/C(C)=C(O[Si](C)(C)C)\OC,9.0,ch2cl2
207,C1=CCCCC=C1,0.06,ch2cl2
919,CN1CCCN2C1=NCCC2,14.43,ch2cl2
166,CC[Si](C1=CC=CO1)(CC)CC,2.2,ch2cl2
174,C=C/C=C\C,0.66,ch2cl2
509,COC1=CC=CC=C1,-1.18,ch2cl2
918,C1CN=C2NCCN2C1,16.15,ch2cl2
1330,O=C1CC(C)(C)CC([C-]1[I+]C2=CC=CC=C2)=O,6.18,ch2cl2
126,C=C1CCCCCC1,2.24,ch2cl2
60,C[SiH](C)C1=CC=CC=C1,3.55,ch2cl2
76,C=CN1C2=C(C=CC=C2)C3=C1C=CC=C3,5.02,ch2cl2
100,C1=CC=CN1,4.63,ch2cl2
142,C=C(C)C,1.11,ch2cl2
77,CC(C)[Si](C(C)C)(C(C)C)N1C=CC=C1,3.12,ch2cl2
913,CN(C)C(=N)N(C)C,13.58,ch2cl2
147,C=C(C)C[Ge](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,4.67,ch2cl2
50,C1(N2CCCCC2)=CCCCC1,13.36,ch2cl2
337,C=C(O[Si](C)(C)C)OCCCC,10.21,ch2cl2
80,CN1C2=C(C=CC=C2)C=C1C,6.54,ch2cl2
148,C=CC[Si](C)(C)C(C)(C)C,1.8,ch2cl2
173,C=CC=C,-0.87,ch2cl2
1036,[B][N+](C)(C)C,7.97,ch2cl2
171,CCCC[Sn](C1=CC=CO1)(CCCC)CCCC,3.63,ch2cl2
51,C/C=C\C,-2.44,ch2cl2
91,[H]C1([H])C2=C(C=CC=C2)CC3=C1C=CC=C3,-0.86,ch2cl2
336,C=C(OCC)OCC,9.81,ch2cl2
233,C[Si](O/C1=C/CCCCCC1)(C)C,6.77,ch2cl2
138,C=CC,-2.41,ch2cl2
1395,C=CCB1OC(C)(C)C(C)(C)O1,-0.64,ch2cl2
234,C/C=C(CC)\O[Si](C)(C)C,5.58,ch2cl2
62,[H][Ge](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,3.99,ch2cl2
141,C/C(C)=C/C,0.65,ch2cl2
48,C=C(OC1=CC=CC=C1)O[Si](C)(C)C,8.23,ch2cl2
49,C1(N2CCOCC2)=CCCCC1,11.4,ch2cl2
206,C1=CCCC=C1,0.67,ch2cl2
339,C/C=C(O[Si](C)(C)C)/O[Si](C)(C)C,10.38,ch2cl2
88,O=C(/C=C/N1CCOCC1)OCC,8.52,ch2cl2
139,C=CCCCC,-2.77,ch2cl2
1184,C=C([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)C,-0.31,ch2cl2
235,C[Si](OC1=CC=CO1)(C)C,7.22,ch2cl2
338,C=C(O[Si](C)(C(C)(C)C)C)OCCCC,10.32,ch2cl2
191,O=C(OCC)C(C(OCC)=O)=[N+]=[N-],-0.35,ch2cl2
388,CC(O[Si](C1=C(F)C(F)=C(F)C(F)=C1F)(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F)=C,0.58,ch2cl2
55,C=CO[Si](C(C)C)(C(C)C)C(C)C,3.44,ch2cl2
238,C=C(C)C[Si](Cl)(Cl)Cl,-0.57,ch2cl2
208,C1=C\CCCC\C=C/1,-0.5,ch2cl2
1041,[BH3-][N+]1=CC=CC=C1,10.01,ch2cl2
146,C/C(C)=C/C[Si](C)(C)C,0.9,ch2cl2
227,C/C(C)=C/O[Si](C)(C)C,3.94,ch2cl2
1151,C1(/C=N/CC2=CC=CC=C2)=CC=CC=C1,7.9,ch2cl2
1188,C=C(C1=CC=CC=C1)C[Si](C)(C)C,5.38,ch2cl2
154,C/C=C/C[Si](C)(C)C,1.94,ch2cl2
164,C1=CC=CO1,1.33,ch2cl2
179,C=C(C)/C=C/C,3.09,ch2cl2
198,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,16.17,ch2cl2
340,CC1=C(O[Si](C)(C)C)OCC1,11.5,ch2cl2
56,C=C(C)C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,4.17,ch2cl2
67,[H][Sn](CCCC)(CCCC)CCCC,9.96,ch2cl2
178,C=C/C=C(C)/C,2.6,ch2cl2
1170,[H]/C([H])=N\N(C)C,19.31,ch2cl2
448,NC1=CC=NC=C1,15.2,ch2cl2
127,C=C1CCCCCCC1,3.16,ch2cl2
592,CC1=C(C(OCC)=O)CC(C(OCC)=O)=C(C)N1,9.0,ch2cl2
1154,C1(/CCCCC1)=N\C2=CC=CC=C2,8.8,ch2cl2
53,CC1=CC(OC)=CC=C1,0.13,ch2cl2
176,C=C(C)C(C)=C,1.17,ch2cl2
232,C[Si](OC1=CCCCCC1)(C)C,6.62,ch2cl2
985,C[SiH2]C1=CC=CC=C1,2.13,ch2cl2
130,C=C1CCCCCCCCCC1,2.33,ch2cl2
230,C=C(C=C)O[Si](C)(C)C,4.83,ch2cl2
236,C[Si](C1CCC=C1)(C)C,1.77,ch2cl2
59,C1([SiH](C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,2.65,ch2cl2
456,C1(N2CCCC2)=CC=NC=C1,15.9,ch2cl2
1133,C1(C2=CC=CC=C2)=NCCCN1,14.62,ch2cl2
992,C[Si](C)CCl,0.8,ch2cl2
92,C/C=C/C([H])([H])/C=C/C,-0.74,ch2cl2
444,CC1=CC=NC=C1,13.7,ch2cl2
228,C/C=C\O[Si](C(C)C)(C(C)C)C(C)C,3.87,ch2cl2
1150,C/N=C/C1=CC=CC=C1,8.6,ch2cl2
82,C/C=C\N1CCOCC1,12.26,ch2cl2
89,C1=CCC=CC1,0.09,ch2cl2
1332,O=C1OC(C)CC([C-]1[I+]C2=CC=CC=C2)=O,4.67,ch2cl2
128,C=C1CCCCCCCC1,2.57,ch2cl2
446,COC1=CC=NC=C1,13.7,ch2cl2
917,C1CN2CCN=C2N1,14.44,ch2cl2
65,[H][Ge](CCCC)(CCCC)CCCC,5.92,ch2cl2
1261,C[Sn](C1C2=CC=CC=C2C=C1)(C)C,6.68,ch2cl2
450,CN(C1=CC=NC=C1)C,15.8,ch2cl2
476,CC1=C(N=[C])C(C)=CC=C1,4.59,ch2cl2
149,C=CC[Si](CC)(CC)CC,1.93,ch2cl2
151,C=CC[Si](CCCC)(CCCC)CCCC,2.09,ch2cl2
143,C=CC1=CC=C(C)C=C1,1.7,ch2cl2
189,CCOC(=O)C=[N+]=[N-],4.91,ch2cl2
225,C=C(O[Si](C)(C)C)C(C)(C)C,3.78,ch2cl2
983,C[SiH](C)C1=CC=C(C=C1)Cl,3.05,ch2cl2
129,C=C1CCCCCCCCC1,2.82,ch2cl2
167,CCCC[Si](C1=CC=CO1)(CCCC)CCCC,2.37,ch2cl2
186,[H]C(C1=CC=CC=C1)=[N+]=[N-],9.35,ch2cl2
1124,C1(C2=CC=CC=C2)=NCCN1,12.31,ch2cl2
84,CN(CC1)CC=C1N2CCOCC2,12.03,ch2cl2
229,C[Si](OC1=C(O[Si](C)(C)C)CCCC1)(C)C,4.46,ch2cl2
168,C1=CC=CS1,-1.01,ch2cl2
203,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,5.51,ch2cl2
384,FC1=C([Si](C2=C(C(F)=C(C(F)=C2F)F)F)(OC3=CCCO3)C4=C(C(F)=C(C(F)=C4F)F)F)C(F)=C(F)C(F)=C1F,8.16,ch2cl2
153,C/C=C\C[Si](C)(C)C,1.69,ch2cl2
251,C/C=C/C,-2.45,ch2cl2
47,C[Si](OC1=CCCC1)(C)C,6.57,ch2cl2
1040,[B]N1C(C=CC=C1C)C,10.33,ch2cl2
94,C1(C=CC=C2)=C2OC(C=CC=C3)=C3C1,0.64,ch2cl2
442,N1=CC=CC=C1,12.9,ch2cl2
605,C1=CC=C(C=C1)P(=CC#N)(C2=CC=CC=C2)C3=CC=CC=C3,12.29,ch2cl2
71,N1(CCCC1)C2=CCCCC2,14.91,ch2cl2
145,C=CC[Si](C)(Cl)C,-0.57,ch2cl2
1038,[B].CCN(C1=CC=CC=C1)C(C)C,9.12,ch2cl2
68,C1=CC=CCC=C1,0.52,ch2cl2
152,C=CC[Si](CCCCCC)(CCCCCC)CCCCCC,2.11,ch2cl2
131,C=C1CCCCCCCCCCC1,1.52,ch2cl2
200,CC(C)P(C(C)C)C(C)C,13.37,ch2cl2
1125,O=C(C)N1CCN=C1C,10.03,ch2cl2
132,C=C1CCCCCCCCCCCCCC1,1.69,ch2cl2
190,CC(C=[N+]=[N-])=O,3.96,ch2cl2
1152,C/C(C)=N/C1=CC=CC=C1,9.53,ch2cl2
165,C[Si](C1=CC=CO1)(C)C,2.16,ch2cl2
169,C[Si](C1=CC=CS1)(C)C,-0.8,ch2cl2
134,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C1=CC=CC=C1,4.8,ch2cl2
231,C=C/C=C/O[Si](C)(C)C,4.6,ch2cl2
1126,N1(CC2=CC=CC=C2)CCN=C1C3=CC=CC=C3,13.11,ch2cl2
93,CCCC1C=CCC1,-0.88,ch2cl2
1329,O=C1OC(C)(C)OC([C-]1[I+]C2=CC=CC=C2)=O,4.36,ch2cl2
57,C=C(C)O[Si](C(C)C)(C(C)C)C(C)C,5.38,ch2cl2
797,C1CCC2C(C1)SC1=NCCCN21,13.86,ch2cl2
988,CC(C)[Si](C(C)C)C(C)C,2.93,ch2cl2
597,COC(C=C1)=CC=C1N2C=C(C(N)=O)CC=C2,8.11,ch2cl2
241,C=C(C)C[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,5.13,ch2cl2
83,C/C=C/N1CCOCC1,12.06,ch2cl2
440,ClC1=CC=NC=C1,11.7,ch2cl2
90,C1(C=CC=C2)=C2CC=CC1,-0.07,ch2cl2
1127,CC1=NCCS1,10.2,ch2cl2
150,C=CC[Si](C(C)C)(C(C)C)C(C)C,2.04,ch2cl2
162,C=C(CCCC(C)=C)C,1.69,ch2cl2
272,C=COCC,3.92,ch2cl2
1129,CC1=NCCC1,13.12,ch2cl2
97,C=CCC=C,-2.99,ch2cl2
52,C=CC[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.13,ch2cl2
249,CC1=CCC2CC1C2(C)C,0.68,ch2cl2
64,[H][Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,5.64,ch2cl2
161,C=C(CCC(C)=C)C,1.14,ch2cl2
458,COC1=CC=C2C(C=CN2)=C1,6.22,ch2cl2
237,CCCCCC[Si](CCCCCC)(CCCCCC)C1CCC=C1,1.98,ch2cl2
70,N1(CCCCC1)C2=CCCC2,15.06,ch2cl2
86,C=C(C1=CC=CC=C1)N2CCOCC2,9.96,ch2cl2
