ID,Smiles,N Params,Solvent
294,CC([C-](C)C(C)=O)=O,14.33,water
483,[H]N(C(C)(C)C)[H],10.48,water
108,CCCN,13.33,water
536,NC(C(O)C)C([O-])=O,12.69,water
498,NC1=CC=CC=C1,12.99,water
532,NC(CC(C)C)C([O-])=O,14.01,water
447,COC1=CC=NC=C1,11.44,water
286,CC([CH-]C(C)=O)=O,13.73,water
341,O=[N+]([CH-]C)[O-],11.25,water
484,[H]N(C)C,17.12,water
285,CC(CC([CH-]1)=O)(C)CC1=O,11.77,water
346,O=[N+]([CH-]C1=CC=CC=C1)[O-],12.05,water
354,O=[N+]([CH-]C1=CC=C(C#N)C=C1)[O-],13.23,water
288,N#C[CH-]C#N,19.5,water
449,NC1=CC=NC=C1,12.19,water
457,C1(N2CCCC2)=CC=NC=C1,12.39,water
538,NC(CCC(N)=O)C([O-])=O,13.45,water
292,O=C([C-](C)C(OCC)=O)OCC,17.68,water
287,CC([CH-]C(OCC)=O)=O,15.99,water
502,NC1=CC=C(OC)C=C1,14.28,water
289,N#C[CH-]C(OCC)=O,15.57,water
290,O=C([CH-]C(OCC)=O)OCC,16.15,water
350,O=[N+]([CH-]C1=CC=C([N+]([O-])=O)C=C1)[O-],13.58,water
352,O=[N+]([CH-]C1=CC=CC([N+]([O-])=O)=C1)[O-],14.25,water
342,[CH2-][N+]([O-])=O,12.06,water
533,NC(CC1=CC=CC=C1)C([O-])=O,14.12,water
348,O=[N+]([CH-]C1=CC=C(C)C=C1)[O-],13.09,water
537,NC(CC(N)=O)C([O-])=O,13.03,water
105,NO,11.41,water
545,NCCC([O-])=O,13.26,water
482,[H]N(C(C)C)[H],12.0,water
500,NC1=CC=C(C)C=C1,13.0,water
345,O=[N+]([C-](C)C)[O-],10.69,water
481,[H]N(CC)[H],12.87,water
531,NC(C(C)C)C([O-])=O,13.65,water
115,[S-]CC([O-])=O,22.62,water
110,O[O-],15.4,water
489,[H]N1CCNCC1,17.22,water
480,[H]N(C)[H],13.85,water
445,CC1=CC=NC=C1,11.1,water
546,O=C([O-])CCCN,13.55,water
548,O=C([O-])CNC(CNC(CN)=O)=O,12.26,water
539,NC(CCCNC(N)=[NH2+])C([O-])=O,12.96,water
441,ClC1=CC=NC=C1,10.5,water
544,NC(CCSC)C([O-])=O,13.16,water
112,O=S([O-])[O-],16.83,water
284,CC(OC([CH-]1)=O)(C)OC1=O,12.06,water
443,N1=CC=CC=C1,11.05,water
540,NC(CC1=CNC=N1)C([O-])=O,13.83,water
541,NC(CC([O-])=O)C([O-])=O,13.81,water
547,O=C([O-])CNC(CN)=O,12.91,water
1382,[O-]OC(CC1=CC=CC=C1)=O,15.63,water
535,NC(CO)C([O-])=O,13.16,water
107,[O-]CC(F)(F)F,12.66,water
493,NCCN,13.28,water
530,NC(C)C([O-])=O,13.01,water
542,NC(CCC([O-])=O)C([O-])=O,13.96,water
534,O=C([O-])C1NCCC1,18.08,water
496,NCC1=CC=CC=C1,13.44,water
1380,[O-]OC(C)(C)C1=CC=CC=C1,13.92,water
104,NC(NN)=O,11.05,water
543,NC(C[S-])C([O-])=O,23.43,water
529,NCC([O-])=O,13.51,water
452,CN(C1=CC=NC=C1)C,13.19,water
506,NCC(OC)=O,12.08,water
1384,O=C(O[O-])C1=CC=CC=C1C([O-])=O,18.43,water
485,[H]N(CC)CC,14.68,water
1426,Br[O-],16.69,water
508,NCCCN,14.02,water
1388,O=C(O[O-])C1=CC=C(OC)C=C1,17.84,water
1389,O=C(O[O-])C1=CC(Cl)=C(OC)C=C1,18.56,water
486,[H]N1CCCC1,17.21,water
495,NCC=C,13.21,water
1387,O=C(O[O-])C1=CC=C([N+]([O-])=O)C=C1,17.43,water
487,[H]N1CCCCC1,18.13,water
504,OCCNCCO,13.0,water
1390,O=C(O[O-])C1=CC=CC=C1,18.57,water
490,[H]N1CCCCCC1,18.29,water
1265,NCCC1=CC=CC=C1,13.4,water
1446,[O-]OC(CC[NH+]1CCCCC1)=O,13.94,water
1386,O=C(O[O-])C1=CC=C(F)C=C1,17.99,water
1381,O=C(O[O-])CCCCCN1C(C(C=CC=C2)=C2C1=O)=O,16.02,water
494,NCC#C,12.29,water
507,NCC(N)=O,12.29,water
1026,CC(O)C,-2.6,water
1383,O=C(O[O-])C1=CC(Cl)=CC(Cl)=C1,17.93,water
1385,O=C(O[O-])C1=CC(Cl)=CC=C1,18.19,water
505,CNCC#N,13.5,water
1379,[O-]OC(C)(C)C,14.29,water
1448,[O-]OC(CCC[NH3+])=O,14.33,water
488,[H]N1CCOCC1,15.62,water
1475,NC(C[S-])C([O-])=O,23.43,water
1428,[O-]OS(=O)([O-])=O,14.41,water
492,OCCN,12.61,water
1425,Cl[O-],14.5,water
1427,[O-]Br=O,12.75,water
1447,[O-]OC(CC[NH3+])=O,14.07,water
1513,[O-]C1=CC=C(C)C=C1,14.3,water
1619,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](COP([O-])(OP(OC[C@H]4O[C@@H](N5C=C(C(N)=O)C([H])([H])C=C5)[C@H](O)[C@@H]4O)([O-])=O)=O)O3,10.37,water
1584,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,10.68,water
